object_name,angular_bin,pair_quota,raw_edge_count,estimation_edge_capacity,correspondence_edge_capacity,estimation_image_count,correspondence_image_count,five_degree_pair_quotas
ice_cream_cart_showpiece,0-40,14,195,46,47,25,25,1;2;2;2;2;1;2;2
ice_cream_cart_showpiece,40-80,14,227,54,58,25,25,1;1;1;2;2;2;3;2
ice_cream_cart_showpiece,80-120,15,301,71,70,25,25,2;2;2;3;2;2;1;1
keywest_showpiece_s,0-40,14,150,35,35,40,40,0;0;1;2;2;3;4;2
keywest_showpiece_s,40-80,15,250,63,58,40,40,2;1;2;2;2;2;2;2
keywest_showpiece_s,80-120,14,246,62,61,40,40,2;2;1;2;2;1;2;2
paper_weight_flowers_showpiece,0-40,14,235,54,60,24,25,0;1;2;2;2;2;3;2
paper_weight_flowers_showpiece,40-80,14,235,52,58,24,25,3;2;2;2;1;1;2;1
paper_weight_flowers_showpiece,80-120,14,193,47,45,24,25,2;2;2;1;2;2;2;1
pumpkin_showpiece_s,0-40,14,122,28,29,40,40,0;0;2;2;2;3;3;2
pumpkin_showpiece_s,40-80,15,245,53,61,40,40,2;2;2;2;2;2;1;2
pumpkin_showpiece_s,80-120,14,229,58,60,40,40,2;2;2;2;1;2;2;1
remote_control_toy_car_s,0-40,14,156,38,39,37,36,0;1;1;2;2;3;2;3
remote_control_toy_car_s,40-80,14,274,76,73,37,36,1;2;2;2;2;2;1;2
remote_control_toy_car_s,80-120,14,241,65,63,37,36,3;2;1;2;2;2;1;1
schleich_african_black_rhino,0-40,14,140,31,31,33,33,0;0;0;3;3;3;3;2
schleich_african_black_rhino,40-80,15,190,48,49,33,33,2;2;2;2;2;1;2;2
schleich_african_black_rhino,80-120,14,273,66,65,33,33,1;2;2;2;2;2;1;2
schleich_bald_eagle,0-40,15,117,28,26,38,39,0;0;2;3;3;2;3;2
schleich_bald_eagle,40-80,14,241,61,62,38,39,1;2;1;1;2;2;2;3
schleich_bald_eagle,80-120,14,311,67,73,38,39,2;2;2;1;2;2;2;1
schleich_hereford_bull,0-40,14,147,36,36,26,26,0;1;1;3;2;2;2;3
schleich_hereford_bull,40-80,14,230,51,56,26,26,2;2;2;1;2;1;2;2
schleich_hereford_bull,80-120,15,321,81,82,26,26,2;2;2;2;2;2;2;1
schleich_lion_action_figure,0-40,15,149,38,36,31,32,0;1;1;2;3;3;2;3
schleich_lion_action_figure,40-80,14,225,52,51,31,32,2;2;1;2;1;2;2;2
schleich_lion_action_figure,80-120,14,235,57,76,31,32,2;2;2;2;1;2;2;1
schleich_spinosaurus_action_figure,0-40,14,130,31,29,26,25,0;1;1;2;1;2;3;4
schleich_spinosaurus_action_figure,40-80,14,202,51,47,26,25,2;2;2;2;2;1;1;2
schleich_spinosaurus_action_figure,80-120,15,261,62,63,26,25,2;2;1;2;2;2;2;2
school_bus,0-40,14,114,27,30,31,31,0;1;1;2;2;3;2;3
school_bus,40-80,14,238,59,64,31,31,2;1;2;2;1;2;2;2
school_bus,80-120,14,287,64,57,31,31,2;2;2;1;2;2;1;2
shoe_right_gray_s,0-40,15,147,36,35,40,39,0;1;1;2;2;2;3;4
shoe_right_gray_s,40-80,14,253,67,56,40,39,1;2;2;2;2;2;2;1
shoe_right_gray_s,80-120,14,281,66,67,40,39,1;2;2;2;2;2;2;1
soldier_wood_showpiece,0-40,14,99,27,27,39,39,0;0;2;0;3;2;3;4
soldier_wood_showpiece,40-80,14,213,39,44,39,39,1;1;1;2;2;2;3;2
soldier_wood_showpiece,80-120,15,322,79,81,39,39,2;2;2;2;2;1;2;2
steps_small_showpiece,0-40,14,215,51,55,25,25,1;1;1;2;2;3;2;2
steps_small_showpiece,40-80,14,257,63,62,25,25,2;2;1;2;2;2;1;2
steps_small_showpiece,80-120,15,235,57,56,25,25,2;1;2;2;3;2;1;2
tractor_green_showpiece,0-40,15,216,48,47,25,25,0;1;2;3;2;2;3;2
tractor_green_showpiece,40-80,14,236,59,61,25,25,1;2;1;2;2;2;2;2
tractor_green_showpiece,80-120,14,262,68,66,25,25,1;1;2;2;2;2;2;2
tumbler_air_balloon,0-40,14,184,45,47,25,25,0;2;2;2;2;2;2;2
tumbler_air_balloon,40-80,14,255,65,64,25,25,1;2;2;2;2;2;2;1
tumbler_air_balloon,80-120,15,228,55,61,25,25,2;2;2;1;2;2;2;2
water_gun_toy_green,0-40,15,131,33,30,24,25,0;2;2;2;3;3;1;2
water_gun_toy_green,40-80,14,152,34,39,24,25,2;1;2;2;2;2;1;2
water_gun_toy_green,80-120,14,123,28,28,24,25,2;1;2;2;2;1;2;2
water_gun_toy_white,0-40,14,115,26,29,25,24,1;1;1;2;2;2;2;3
water_gun_toy_white,40-80,14,159,35,34,25,24,2;2;2;2;2;1;1;2
water_gun_toy_white,80-120,15,126,31,31,25,24,3;2;2;1;2;1;2;2
water_gun_toy_yellow,0-40,15,145,32,34,24,23,0;1;2;3;3;2;2;2
water_gun_toy_yellow,40-80,14,150,38,40,24,23,1;2;3;2;1;2;1;2
water_gun_toy_yellow,80-120,14,119,30,30,24,23,3;2;2;3;2;0;1;1
weisshai_great_white_shark,0-40,15,77,24,21,20,19,0;0;0;2;4;4;1;4
weisshai_great_white_shark,40-80,14,144,31,35,20,19,2;1;2;1;2;3;2;1
weisshai_great_white_shark,80-120,14,206,44,49,20,19,2;1;2;2;2;2;1;2
welcome_sign_mushrooms,0-40,14,202,51,51,25,25,0;1;2;3;2;2;2;2
welcome_sign_mushrooms,40-80,15,230,53,53,25,25,2;2;1;2;2;1;3;2
welcome_sign_mushrooms,80-120,14,252,59,57,25,25,2;2;1;2;2;2;1;2
well_with_leaf_roof_showpiece,0-40,14,194,50,47,25,25,0;2;3;2;1;2;2;2
well_with_leaf_roof_showpiece,40-80,15,219,51,59,25,25,2;2;2;2;2;1;2;2
well_with_leaf_roof_showpiece,80-120,14,218,50,53,25,25,2;2;1;2;2;1;2;2
